date,VOO,GOOGL,BRK.B,SCHD,KO,MSFT,AMZN,MA,PEP,GLD,IEF,SHY,TLT,SPY
2024-07-15,492.2938,176.3006,434.47,25.1328,61.6878,430.3468,183.13,438.4191,157.1841,221.73,87.6856,75.9404,85.2216,536.2941
2024-07-22,488.1762,165.7222,437.66,25.5542,63.3507,418.69,182.5,432.9746,160.3304,220.63,88.0843,76.1351,85.2858,531.8493
2024-07-29,478.0094,165.3848,428.36,25.0368,65.5049,402.1696,167.9,456.5314,165.2401,225.34,90.8329,76.8897,90.438,520.5763
2024-08-05,477.9216,162.4176,431.67,24.8416,64.8908,399.7378,166.94,451.3537,159.9963,224.56,89.8844,76.7129,88.5792,520.6641
2024-08-12,497.0748,161.7131,444.51,25.3962,65.3632,412.7378,177.06,463.3099,160.2097,231.99,90.2656,76.7687,89.665,541.491
2024-08-19,504.1096,164.3527,453.38,25.8796,65.9395,411.0808,177.04,460.8989,163.2261,232.02,90.9352,77.0199,90.5392,549.1302
2024-08-26,505.456,162.1299,475.92,26.1926,68.4717,411.426,178.5,477.5982,160.4511,231.29,90.2656,77.0106,88.7908,550.6443
2024-09-02,484.5759,149.7652,459.42,25.4086,67.215,396.1975,171.39,470.4639,165.8437,230.63,91.7374,77.4287,91.914,527.8636
2024-09-09,504.0218,156.4625,447.61,25.83,67.9327,424.6918,186.49,487.4991,165.8624,238.68,92.2224,77.606,92.6987,549.013
2024-09-16,511.1541,162.5537,455.31,26.1771,68.1515,429.3076,191.6,486.8865,160.0831,242.21,91.7933,77.662,91.2862,556.8113
2024-09-23,514.2149,162.9114,457.47,26.3427,68.2942,422.157,187.97,487.7758,158.9796,245.02,91.7654,77.718,91.0,559.9665
2024-09-30,515.4579,166.0017,461.97,26.4646,66.7531,410.3608,186.51,491.7876,157.0811,245.0,90.2377,77.2717,88.497,561.4462
2024-10-07,521.3891,162.2059,460.21,26.7679,66.1823,410.6172,188.82,496.9532,163.4777,245.47,89.6671,77.2905,86.7836,567.9133
2024-10-14,525.9403,162.3848,464.8,27.0211,67.0099,412.432,188.99,510.8845,163.7115,251.27,89.7419,77.3373,86.941,572.8224
2024-10-21,520.9487,164.223,454.01,26.4021,63.6613,422.2852,187.83,501.9993,160.6535,253.32,88.7597,77.1781,85.3387,567.384
2024-10-28,513.7842,170.2049,452.14,26.3552,61.8443,404.7487,197.93,502.7117,154.8554,252.47,87.8901,77.0965,84.4187,559.5452
2024-11-04,538.2626,177.2202,463.41,27.2744,60.8074,416.752,208.18,519.2155,154.4066,247.96,88.3873,77.1153,85.952,586.1487
2024-11-11,527.0561,171.3973,470.28,26.8523,58.7336,409.3153,202.61,516.3759,148.3373,236.59,87.5617,77.0683,83.7124,573.959
2024-11-18,535.8354,163.7162,476.57,27.5276,60.8074,412.1111,197.12,515.3568,151.4982,249.84,87.8244,77.0589,84.0005,583.5226
2024-11-25,541.6884,167.8797,483.02,27.6964,61.422,418.4954,207.89,527.3091,152.8542,245.59,89.3163,77.3502,87.3274,590.421
2024-12-02,546.9442,173.6033,470.5,27.0305,59.9363,438.3697,227.03,522.9852,148.8175,242.95,89.6664,77.5152,88.0222,595.575
2024-12-09,543.8024,188.8337,457.9,26.6294,60.5018,442.0262,227.46,523.4108,148.9873,244.29,88.1793,77.3832,84.0682,592.0475
2024-12-16,533.457,190.4154,453.2,25.8342,59.9554,431.4814,224.92,522.451,144.1018,242.1,87.4502,77.3548,82.6725,581.2
2024-12-23,537.1676,191.7584,456.51,26.0046,59.8596,425.4825,223.75,526.577,144.1962,241.4,86.9498,77.3831,81.5397,584.995
2024-12-30,534.5362,190.7935,453.56,25.9762,59.1886,418.3867,224.19,515.8514,141.1404,243.49,87.2047,77.525,81.7176,581.9865
2025-01-06,524.2166,191.0421,442.66,25.5691,58.5368,414.0383,218.94,500.0737,134.529,248.21,86.2416,77.4021,80.0044,570.7194
2025-01-13,539.5045,194.9816,467.95,26.4969,60.1088,424.0001,225.94,519.9213,139.82,249.27,87.2992,77.6386,81.624,587.5217
2025-01-20,548.8814,199.1697,463.19,26.5726,59.3516,438.8539,234.85,528.6312,140.6405,255.65,87.3181,77.6953,81.6521,597.7368
2025-01-27,543.3044,202.9599,468.67,26.3454,60.8469,410.1939,237.68,550.3714,142.1212,258.56,87.8374,77.8372,82.1576,591.6904
2025-02-03,542.1949,184.377,472.74,26.0898,61.1919,404.9462,229.15,557.6247,136.3587,263.9,88.2315,77.7926,83.8694,590.658
2025-02-10,550.5309,184.2675,479.59,26.3075,66.0133,403.6416,228.68,559.6165,135.2363,266.29,88.402,77.916,83.7566,599.4377
2025-02-17,541.7529,178.7265,478.74,26.7051,68.3904,404.2331,216.58,552.4325,144.7715,270.74,88.7714,78.0488,84.1888,589.842
2025-02-24,536.4312,169.3952,513.83,27.0175,68.2562,393.1224,212.28,571.0612,144.7432,263.27,90.2966,78.4095,86.8382,584.179
2025-03-03,519.916,172.9566,495.62,26.9418,68.4671,389.4783,199.25,541.7903,146.9458,268.39,89.6743,78.4218,84.925,566.2262
2025-03-10,508.0843,164.8197,514.6,26.1655,66.7805,384.7746,197.95,522.8345,141.3797,275.24,89.7598,78.4599,84.9815,553.3369
2025-03-17,510.8335,163.3258,521.91,26.2791,66.3073,387.4482,196.21,530.8112,138.3921,278.49,90.2729,78.6122,85.4811,556.1553
2025-03-24,503.2838,153.7049,526.31,26.3444,67.9488,375.1096,192.72,535.6864,142.0267,284.06,90.3393,78.6979,84.9533,547.9506
2025-03-31,458.6701,145.0103,493.54,24.1474,67.524,356.3343,171.0,485.3094,139.4958,279.72,92.0293,78.9747,87.8219,498.2697
2025-04-07,483.3318,156.5035,524.11,24.1665,68.9724,384.6656,184.87,505.9086,137.4216,297.93,89.1224,78.7359,82.1846,526.5321
2025-04-14,476.7796,150.5478,518.21,24.2811,70.4883,364.197,172.61,513.4315,135.9087,306.12,90.2375,79.0416,82.7899,519.1065
2025-04-21,498.6628,161.304,530.96,24.5199,69.4359,388.0325,188.99,529.4598,126.9078,304.73,90.7426,79.1275,84.0763,543.0004
2025-04-28,513.048,163.3656,539.8,24.8925,69.1848,431.0394,189.98,555.1746,127.2598,297.98,90.5516,79.0778,83.2845,558.8967
2025-05-05,511.0183,152.1313,513.74,24.5772,68.0937,434.4557,193.06,564.3549,124.1104,306.84,90.2169,79.0395,82.6389,556.5103
2025-05-12,538.222,165.5169,514.31,25.4083,69.5228,450.6702,205.59,578.8845,125.5757,294.24,89.8535,78.9533,81.9269,585.956
2025-05-19,524.566,167.7876,503.46,24.7301,69.3007,446.6127,200.99,559.3329,123.0638,309.75,89.6623,79.0395,80.2656,571.0753
2025-05-26,533.7883,171.0444,503.96,24.9975,69.6193,456.712,205.01,581.187,125.0714,303.6,90.4272,79.1928,81.9079,581.2128
2025-06-02,542.5572,172.9765,493.53,25.351,68.8951,466.6526,213.57,585.673,125.0779,305.18,89.7077,79.0313,81.3267,590.8275
2025-06-09,540.6951,174.1731,487.54,25.6948,69.064,471.1963,212.1,557.7947,125.8666,316.29,90.456,79.2236,82.2605,588.7172
2025-06-16,539.6604,166.166,484.85,25.5038,66.9441,473.6169,209.69,528.9536,124.1544,310.13,90.7534,79.3485,82.4129,587.7674
2025-06-23,558.6075,178.0221,485.68,25.4552,68.3931,492.01,223.3,546.1729,126.0494,301.22,91.5113,79.5985,83.2705,608.1713
2025-06-30,568.5056,179.0193,485.0,26.3812,69.385,494.8871,223.41,564.9503,130.2241,307.14,91.1954,79.4768,83.1795,618.487
2025-07-07,566.529,179.6774,475.86,26.3619,67.9457,499.3315,225.02,546.7727,130.1087,309.14,90.772,79.5154,82.0509,616.7858
2025-07-14,570.1858,184.5336,473.8,26.0629,67.9263,506.0082,226.13,549.2374,137.7848,308.39,90.849,79.5925,81.5249,620.7025
2025-07-21,578.7448,192.6305,484.07,26.3522,67.265,509.6392,231.44,564.7009,137.9867,307.4,91.1762,79.6118,82.663,630.1181
2025-07-28,564.7797,188.592,472.84,25.4455,66.9635,519.9568,214.75,556.4227,133.9756,309.11,92.3816,79.9796,84.3135,614.9066
2025-08-04,578.9028,200.847,465.4,25.9278,68.4028,517.9031,222.69,570.7632,139.6797,313.05,92.092,79.9409,83.8047,630.1972
2025-08-11,584.6649,203.32,477.2,26.3619,67.9943,516.048,231.03,578.0975,144.6721,307.43,91.9472,79.9893,82.9502,636.3886
2025-08-18,586.2857,205.5037,489.0,26.9599,68.1986,504.0378,228.84,595.2507,143.941,310.58,92.4685,80.1634,83.5742,638.2382
2025-08-25,586.1572,212.3044,502.98,26.931,67.09,503.5012,229.0,591.6034,142.9887,318.07,92.8354,80.2892,83.1422,637.981
2025-09-01,588.0153,234.3315,499.77,26.6609,66.0883,491.8848,232.33,580.6019,142.1923,331.05,93.7499,80.4814,85.3472,640.147
2025-09-08,597.3846,240.3298,493.74,26.5066,65.1645,506.691,228.15,576.8155,139.4143,335.42,93.9436,80.4911,86.6868,650.2056
2025-09-15,604.639,254.2226,492.85,26.3619,65.0959,514.6705,231.48,580.5422,137.6951,339.18,93.6046,80.5202,85.7905,658.2465
2025-09-22,603.0378,246.0585,500.03,26.4976,64.3512,508.2412,219.78,561.6302,136.4129,346.74,93.2074,80.4523,85.6749,656.3819
2025-09-29,609.8569,244.8709,498.75,26.6923,65.3115,514.0941,219.51,576.8553,137.9088,357.64,93.6673,80.6039,86.4373,663.7113
2025-10-06,595.1978,236.108,489.13,25.8451,65.6936,507.7443,216.37,554.7589,145.7765,369.12,94.1628,80.7402,87.6365,647.6542
2025-10-13,605.3571,252.8054,492.42,26.0886,67.0655,510.3479,213.04,558.2319,149.3024,388.99,94.6292,80.896,88.1973,658.9308
2025-10-20,617.0428,259.4125,492.1,26.3223,68.31,520.3148,224.21,570.8699,147.2043,377.52,94.7264,80.9155,88.4585,671.6852
2025-10-27,621.4931,280.6409,477.54,26.0496,67.5163,514.5512,244.22,549.2958,141.9009,368.12,94.1045,80.7889,87.3173,676.4557
2025-11-03,611.4329,278.2855,499.06,26.0204,69.1332,493.6933,244.41,549.2758,138.8509,368.31,94.2449,80.8993,86.9339,665.4567
2025-11-10,612.3646,275.8702,508.94,26.5268,69.7309,506.9692,234.69,543.0663,141.6678,375.96,94.0012,80.8993,86.2545,666.4088
2025-11-17,600.5698,299.0748,504.04,26.3905,71.485,470.0268,220.69,537.7624,142.134,374.27,94.7322,81.0946,86.866,653.6149
2025-11-24,622.851,319.5547,513.81,26.8676,71.6516,489.8287,233.22,547.843,144.4749,387.88,95.0344,81.1435,87.5551,677.7747
2025-12-01,624.9027,320.6426,504.34,26.9845,69.076,481.0179,229.53,542.8574,142.2393,386.44,94.309,81.0837,85.8807,680.0558
2025-12-08,621.3246,308.8879,499.52,27.231,69.5891,476.4084,226.19,569.1384,147.7614,395.44,94.0353,81.1817,85.0723,676.1581
2025-12-15,622.0085,306.7607,494.53,27.0145,69.1352,483.7657,227.35,569.437,145.3191,399.02,94.3895,81.3237,85.6087,676.9923
2025-12-22,631.0049,313.1024,498.3,27.1916,68.9477,485.5477,232.52,576.771,141.0231,416.74,94.5856,81.3531,85.7945,686.6609
2025-12-29,624.5043,314.7403,496.85,27.2801,68.2076,470.8432,226.5,560.3814,139.5028,398.28,94.2325,81.4219,85.1002,679.5586
2026-01-05,634.4539,328.1429,499.1,28.0868,69.5793,477.1551,247.38,573.5911,137.2273,414.47,94.4483,81.3925,85.9803,690.401
2026-01-12,632.2473,329.571,493.29,28.4312,69.5102,457.8212,239.12,537.6632,143.5144,421.29,94.0854,81.3531,85.8532,688.0037
2026-01-19,630.001,327.5037,478.97,28.6673,71.918,463.8842,239.16,522.9631,141.8078,458.0,94.105,81.4023,85.9803,685.5865
2026-01-26,632.3765,337.5606,480.53,29.3362,73.8225,428.3823,239.3,536.9655,150.6842,444.95,94.0952,81.5497,85.198,688.3121
2026-02-02,631.4024,322.4403,508.09,30.9595,77.9868,399.3615,210.32,546.8818,167.221,455.46,94.5301,81.6679,85.9264,686.9692
2026-02-09,623.1029,305.3226,497.55,31.0972,77.6414,399.5407,198.79,516.6047,162.7582,462.62,95.6519,81.8651,88.0662,678.1461
2026-02-16,630.1898,314.5705,498.2,31.0972,78.7861,396.3715,210.11,524.6274,161.7774,468.62,95.5338,81.7961,87.7619,685.7856
2026-02-23,627.2277,311.3547,504.95,31.2546,80.4834,391.8912,210.0,515.4587,166.4854,483.75,96.4194,81.9834,89.1459,682.3637
2026-03-02,614.694,298.1319,498.98,30.625,76.0231,408.0761,213.21,520.5713,157.7701,473.51,95.1789,81.759,87.1181,668.8256
2026-03-09,605.4105,302.0995,490.03,30.3003,76.8439,394.6951,207.67,496.3037,158.2154,460.84,94.3303,81.5811,85.2272,658.789
2026-03-16,594.3278,300.8203,480.94,29.897,74.2705,381.0447,205.37,494.6394,148.4778,413.38,93.6296,81.3439,84.528,646.9034
2026-03-23,581.2673,274.1762,468.49,30.1995,75.2243,355.9989,199.34,482.6003,151.4466,414.7,93.3533,81.423,84.3409,632.4606
2026-03-30,601.2391,295.5934,477.35,30.3185,76.2279,372.6529,209.77,491.7691,155.3753,429.41,94.3179,81.6376,85.815,654.1448
2026-04-06,622.7864,317.0506,479.9,30.3185,76.973,370.0685,238.38,497.8255,155.4248,437.13,94.3278,81.6871,85.5183,677.7141
2026-04-13,650.8846,341.476,474.58,30.8047,75.2541,421.8763,250.56,520.4276,156.0284,445.93,94.9813,81.9151,86.0918,708.3152
2026-04-20,654.514,344.1944,469.32,30.9535,76.1384,423.7023,263.99,503.3263,153.8216,433.25,94.6149,81.8457,85.7359,712.1055
2026-04-27,660.5963,385.4598,473.01,31.6083,78.0759,413.5443,268.26,494.6308,155.7711,423.18,94.1122,81.7694,84.9608,718.7982
2026-05-04,676.0712,400.5607,475.94,31.3702,77.9169,414.2228,272.68,494.6508,153.0102,433.77,94.3307,81.8192,85.4272,735.7246
2026-05-11,677.4672,396.5432,482.7,31.4694,80.3016,421.0081,264.14,493.373,147.5674,417.29,92.8903,81.5806,83.0256,737.2706
2026-05-18,683.5594,382.7414,486.38,32.5706,80.9573,418.57,266.32,497.7057,149.0023,413.82,93.2579,81.6402,84.0378,743.724
2026-05-25,693.4705,380.1129,474.48,32.2432,78.5032,450.24,270.64,493.1533,142.6888,417.12,94.0228,81.8192,85.1097,754.5361
2026-06-01,676.0313,368.31,488.13,32.0448,78.9701,416.67,246.03,490.2581,141.92,396.24,93.3121,81.6227,84.747,735.6548
2026-06-08,679.9698,359.68,489.25,32.5607,82.09,390.74,238.55,489.16,144.27,386.54,93.8703,81.8321,85.4544,739.844
2026-06-15,686.1119,368.03,489.46,31.6083,79.39,379.4,244.39,488.9703,142.02,387.12,94.0497,81.7523,86.4308,746.74
2026-06-22,670.26,337.39,498.66,32.09,82.63,372.97,232.69,498.1849,141.39,373.63,94.7175,81.9518,87.0385,728.99
2026-06-29,684.84,359.91,507.78,32.39,84.14,390.49,242.67,538.4873,144.22,378.13,94.12,81.94,85.51,744.78
2026-07-06,693.86,357.18,493.71,32.4,83.49,385.1,245.34,526.74,137.38,377.01,93.63,81.88,84.47,754.95
2026-07-13,690.14,354.46,493.12,33.04,84.92,401.1,249.89,551.54,139.43,364.96,93.72,82.0,84.21,750.72
2026-07-16,690.14,354.46,493.12,33.04,84.92,401.1,249.89,551.54,139.43,364.96,93.72,82.0,84.21,750.72
