rank,ticker,name,close_price,fair_value,upside_pct,star_rating,moat,uncertainty,sector,industry
1,ADNT,Adient PLC,19.2,69,259.4,5,Narrow,,Consumer Cyclical,Auto Parts
2,CHTR,Charter Communications Inc Class A,131.37,400,204.5,,Narrow,,Communication Services,Telecom Services
3,TME,Tencent Music Entertainment Group ADR,8.83,25,183.1,,Narrow,,Communication Services,Internet Content & Information
4,BBWI,Bath & Body Works Inc,20.42,54,164.4,,None,,Consumer Cyclical,Specialty Retail
5,CPRI,Capri Holdings Ltd,17.47,45.5,160.4,,None,,Consumer Cyclical,Luxury Goods
6,STLA,Stellantis NV,5.57,14.4,158.5,,None,,Consumer Cyclical,Auto Manufacturers
7,CPB,The Campbell's Co,22.15,56,152.8,,Wide,,Consumer Defensive,Packaged Foods
8,KSS,Kohl's Corp,16.55,41,147.7,,None,,Consumer Cyclical,Department Stores
9,WGO,Winnebago Industries Inc,29.56,73,147.0,,None,,Consumer Cyclical,Recreational Vehicles
10,CLVT,Clarivate PLC Ordinary Shares,2.29,5.5,140.2,,None,,Technology,Information Technology Services
11,VFC,VF Corp,16.88,40,137.0,,None,,Consumer Cyclical,Apparel Manufacturing
12,HUYA,HUYA Inc Class A,2.37,5.6,136.3,,None,,Communication Services,Entertainment
13,KLAR,Klarna Group PLC,19.27,45,133.5,,Narrow,,Financial Services,Credit Services
14,LULU,Lululemon Athletica Inc,120.3,280,132.8,,Narrow,,Consumer Cyclical,Apparel Retail
15,TEAM,Atlassian Corp Class A,96.16,220,128.8,,Narrow,,Technology,Software - Application
16,FISV,Fiserv Inc,51.18,115,124.7,,Narrow,,Technology,Information Technology Services
17,FLUT,Flutter Entertainment PLC,112.4,245,118.0,,Narrow,,Consumer Cyclical,Gambling
18,MKTX,MarketAxess Holdings Inc,115.37,250,116.7,,Wide,,Financial Services,Capital Markets
19,NKE,Nike Inc Class B,43.76,94,114.8,,Wide,,Consumer Cyclical,Footwear & Accessories
20,BABA,Alibaba Group Holding Ltd ADR,112.35,241,114.5,,Wide,,Consumer Cyclical,Internet Retail
21,BLKB,Blackbaud Inc,31.03,65,109.5,,Narrow,,Technology,Software - Application
22,CRSP,CRISPR Therapeutics AG,50.63,106,109.4,,None,,Healthcare,Biotechnology
23,PSKY,Paramount Skydance Corp Ordinary Shares - Class B,9.55,20,109.4,,None,,Communication Services,Entertainment
24,TU,TELUS Corp,10.54,22,108.7,,Narrow,,Communication Services,Telecom Services
25,NTLA,Intellia Therapeutics Inc,13.02,27,107.4,,None,,Healthcare,Biotechnology
26,HUBS,HubSpot Inc,217.59,450,106.8,,Narrow,,Technology,Software - Application
27,BILI,Bilibili Inc ADR,17.59,36,104.7,,None,,Communication Services,Internet Content & Information
28,FIS,Fidelity National Information Services Inc,41.93,85,102.7,,Narrow,,Technology,Information Technology Services
29,AUR,Aurora Innovation Inc Class A,6.05,12,98.3,,None,,Consumer Cyclical,Auto Parts
30,SAP,SAP SE ADR,159.97,317,98.2,,Wide,,Technology,Software - Application
31,CE,Celanese Corp Class A,47.92,95,98.2,,Narrow,,Basic Materials,Chemicals
32,CSGP,CoStar Group Inc,28.77,57,98.1,,Narrow,,Real Estate,Real Estate Services
33,CNH,CNH Industrial NV,10.42,20.5,96.7,,Narrow,,Industrials,Farm & Heavy Construction Machinery
34,PRGO,Perrigo Co PLC,10.17,20,96.7,,None,,Healthcare,Drug Manufacturers - Specialty & Generic
35,CCOI,Cogent Communications Holdings Inc,12.93,25,93.3,,Narrow,,Communication Services,Telecom Services
36,THO,Thor Industries Inc,71.96,138,91.8,,None,,Consumer Cyclical,Recreational Vehicles
37,CTSH,Cognizant Technology Solutions Corp Class A,44.16,84,90.2,,Narrow,,Technology,Information Technology Services
38,GLOB,Globant SA,32.12,61,89.9,,None,,Technology,Information Technology Services
39,UA,Under Armour Inc Class C,6.61,12.5,89.1,,None,,Consumer Cyclical,Apparel Manufacturing
40,ZTS,Zoetis Inc Class A,75.39,140,85.7,,Wide,,Healthcare,Drug Manufacturers - Specialty & Generic
41,UAA,Under Armour Inc Class A,6.75,12.5,85.2,,None,,Consumer Cyclical,Apparel Manufacturing
42,OLN,Olin Corp,21.15,39,84.4,,None,,Basic Materials,Chemicals
43,GIL,Gildan Activewear Inc,51.68,95,83.8,,Narrow,,Consumer Cyclical,Apparel Manufacturing
44,BSX,Boston Scientific Corp,44.65,81,81.4,,Narrow,,Healthcare,Medical Devices
45,DOCU,Docusign Inc,49.87,90,80.5,,None,,Technology,Software - Application
46,FRPT,Freshpet Inc,55.92,100,78.8,,None,,Consumer Defensive,Packaged Foods
47,BAX,Baxter International Inc,22.57,40,77.2,,Narrow,,Healthcare,Medical Instruments & Supplies
48,ZS,Zscaler Inc,141.82,250,76.3,,Narrow,,Technology,Software - Infrastructure
49,GNTX,Gentex Corp,23.91,42,75.7,,Narrow,,Consumer Cyclical,Auto Parts
50,YUMC,Yum China Holdings Inc,43.9,77,75.4,,Wide,,Consumer Cyclical,Restaurants
51,KMX,CarMax Inc,54.87,96,75.0,,Narrow,,Consumer Cyclical,Auto & Truck Dealerships
52,LI,Li Auto Inc ADR,12.18,21,72.4,,None,,Consumer Cyclical,Auto Manufacturers
53,PEGA,Pegasystems Inc,31.94,55,72.2,,None,,Technology,Software - Application
54,CMCSA,Comcast Corp Class A,23.97,41,71.0,,Narrow,,Communication Services,Telecom Services
55,RELX,RELX PLC ADR,33.42,57,70.6,,Wide,,Industrials,Specialty Business Services
56,GPN,Global Payments Inc,76.85,131,70.5,,Narrow,,Industrials,Specialty Business Services
57,PAYP,PayPay Corp ADR - Sponsor,15.26,26,70.4,,Narrow,,Technology,Software - Infrastructure
58,DKNG,DraftKings Inc Ordinary Shares - Class A,26.45,45,70.1,,Narrow,,Consumer Cyclical,Gambling
59,AVGO,Broadcom Inc,384.05,650,69.2,,Wide,,Technology,Semiconductors
60,LPLA,LPL Financial Holdings Inc,321.06,542,68.8,,Wide,,Financial Services,Capital Markets
61,BR,Broadridge Financial Solutions Inc,151.04,255,68.8,,Wide,,Technology,Information Technology Services
62,PYPL,PayPal Holdings Inc,47.65,80,67.9,,Narrow,,Financial Services,Credit Services
63,VIPS,Vipshop Holdings Ltd ADR,13.92,23.3,67.4,,None,,Consumer Cyclical,Internet Retail
64,RH,RH Class A,161.82,270,66.9,,None,,Consumer Cyclical,Specialty Retail
65,PDD,PDD Holdings Inc ADR,84.56,141,66.7,,Narrow,,Consumer Cyclical,Internet Retail
66,MAT,Mattel Inc,13.84,23,66.2,,Narrow,,Consumer Cyclical,Leisure
67,MLCO,Melco Resorts and Entertainment Ltd ADR,5.42,9,66.1,,Narrow,,Consumer Cyclical,Resorts & Casinos
68,ADBE,Adobe Inc,230.61,380,64.8,5,Narrow,,Technology,Software - Application
69,PVH,PVH Corp,77.78,128,64.6,,None,,Consumer Cyclical,Apparel Manufacturing
70,NICE,NICE Ltd ADR,103.48,170,64.3,,None,,Technology,Software - Application
71,VNT,Vontier Corp Ordinary Shares,29.34,48,63.6,,Narrow,,Technology,Scientific & Technical Instruments
72,CRM,Salesforce Inc,171.22,280,63.5,,Narrow,,Technology,Software - Application
73,CLX,Clorox Co,95.05,155,63.1,,Wide,,Consumer Defensive,Household & Personal Products
74,LYB,LyondellBasell Industries NV Class A,58.32,95,62.9,,Narrow,,Basic Materials,Specialty Chemicals
75,PODD,Insulet Corp,162.06,263,62.3,,Narrow,,Healthcare,Medical Devices
76,ACN,Accenture PLC Class A,138.52,223,61.0,3,Narrow,,Technology,Information Technology Services
77,ACM,AECOM,68.68,110,60.2,4,None,,Industrials,Engineering & Construction
78,TYL,Tyler Technologies Inc,314.22,500,59.1,,Wide,,Technology,Software - Application
79,ALB,Albemarle Corp,125.79,200,59.0,3,Narrow,,Basic Materials,Specialty Chemicals
80,TSCO,Tractor Supply Co,30.24,48,58.7,,Wide,,Consumer Cyclical,Specialty Retail
81,KHC,The Kraft Heinz Co,25.23,40,58.5,,Narrow,,Consumer Defensive,Packaged Foods
82,DOW,Dow Inc,30.37,48,58.1,,Narrow,,Basic Materials,Chemicals
